@RELATION mushrooms

@ATTRIBUTE class=p {?, t}
@ATTRIBUTE class=e {?, t}
@ATTRIBUTE cap-shape=b {?, t}
@ATTRIBUTE cap-shape=c {?, t}
@ATTRIBUTE cap-shape=x {?, t}
@ATTRIBUTE cap-shape=f {?, t}
@ATTRIBUTE cap-shape=k {?, t}
@ATTRIBUTE cap-shape=s {?, t}
@ATTRIBUTE cap-surface=f {?, t}
@ATTRIBUTE cap-surface=g {?, t}
@ATTRIBUTE cap-surface=y {?, t}
@ATTRIBUTE cap-surface=s {?, t}
@ATTRIBUTE cap-color=n {?, t}
@ATTRIBUTE cap-color=b {?, t}
@ATTRIBUTE cap-color=c {?, t}
@ATTRIBUTE cap-color=g {?, t}
@ATTRIBUTE cap-color=r {?, t}
@ATTRIBUTE cap-color=p {?, t}
@ATTRIBUTE cap-color=u {?, t}
@ATTRIBUTE cap-color=e {?, t}
@ATTRIBUTE cap-color=w {?, t}
@ATTRIBUTE cap-color=y {?, t}
@ATTRIBUTE bruises=t {?, t}
@ATTRIBUTE bruises=f {?, t}
@ATTRIBUTE oder=a {?, t}
@ATTRIBUTE oder=l {?, t}
@ATTRIBUTE oder=c {?, t}
@ATTRIBUTE oder=y {?, t}
@ATTRIBUTE oder=f {?, t}
@ATTRIBUTE oder=m {?, t}
@ATTRIBUTE oder=n {?, t}
@ATTRIBUTE oder=p {?, t}
@ATTRIBUTE oder=s {?, t}
@ATTRIBUTE gill-attachment=a {?, t}
@ATTRIBUTE gill-attachment=d {?, t}
@ATTRIBUTE gill-attachment=f {?, t}
@ATTRIBUTE gill-attachment=n {?, t}
@ATTRIBUTE gill-spacing=c {?, t}
@ATTRIBUTE gill-spacing=w {?, t}
@ATTRIBUTE gill-spacing=d {?, t}
@ATTRIBUTE gill-size=b {?, t}
@ATTRIBUTE gill-size=n {?, t}
@ATTRIBUTE gill-color=b {?, t}
@ATTRIBUTE gill-color=n {?, t}
@ATTRIBUTE gill-color=k {?, t}
@ATTRIBUTE gill-color=h {?, t}
@ATTRIBUTE gill-color=g {?, t}
@ATTRIBUTE gill-color=r {?, t}
@ATTRIBUTE gill-color=o {?, t}
@ATTRIBUTE gill-color=p {?, t}
@ATTRIBUTE gill-color=u {?, t}
@ATTRIBUTE gill-color=e {?, t}
@ATTRIBUTE gill-color=w {?, t}
@ATTRIBUTE gill-color=y {?, t}
@ATTRIBUTE stalk-shape=e {?, t}
@ATTRIBUTE stalk-shape=t {?, t}
@ATTRIBUTE stalk-root=e {?, t}
@ATTRIBUTE stalk-root=b {?, t}
@ATTRIBUTE stalk-root=c {?, t}
@ATTRIBUTE stalk-root=u {?, t}
@ATTRIBUTE stalk-root=z {?, t}
@ATTRIBUTE stalk-root=r {?, t}
@ATTRIBUTE stalk-root=f {?, t}
@ATTRIBUTE stalk-surface-above-ring=f {?, t}
@ATTRIBUTE stalk-surface-above-ring=y {?, t}
@ATTRIBUTE stalk-surface-above-ring=k {?, t}
@ATTRIBUTE stalk-surface-above-ring=s {?, t}
@ATTRIBUTE stalk-surface-below-ring=f {?, t}
@ATTRIBUTE stalk-surface-below-ring=y {?, t}
@ATTRIBUTE stalk-surface-below-ring=k {?, t}
@ATTRIBUTE stalk-surface-below-ring=s {?, t}
@ATTRIBUTE stalk-color-above-ring=n {?, t}
@ATTRIBUTE stalk-color-above-ring=b {?, t}
@ATTRIBUTE stalk-color-above-ring=c {?, t}
@ATTRIBUTE stalk-color-above-ring=g {?, t}
@ATTRIBUTE stalk-color-above-ring=o {?, t}
@ATTRIBUTE stalk-color-above-ring=p {?, t}
@ATTRIBUTE stalk-color-above-ring=e {?, t}
@ATTRIBUTE stalk-color-above-ring=w {?, t}
@ATTRIBUTE stalk-color-above-ring=y {?, t}
@ATTRIBUTE stalk-color-below-ring=n {?, t}
@ATTRIBUTE stalk-color-below-ring=b {?, t}
@ATTRIBUTE stalk-color-below-ring=c {?, t}
@ATTRIBUTE stalk-color-below-ring=g {?, t}
@ATTRIBUTE stalk-color-below-ring=o {?, t}
@ATTRIBUTE stalk-color-below-ring=p {?, t}
@ATTRIBUTE stalk-color-below-ring=e {?, t}
@ATTRIBUTE stalk-color-below-ring=w {?, t}
@ATTRIBUTE stalk-color-below-ring=y {?, t}
@ATTRIBUTE veil-type=p {?, t}
@ATTRIBUTE veil-type=u {?, t}
@ATTRIBUTE veil-color=n {?, t}
@ATTRIBUTE veil-color=o {?, t}
@ATTRIBUTE veil-color=w {?, t}
@ATTRIBUTE veil-color=y {?, t}
@ATTRIBUTE ring-number=n {?, t}
@ATTRIBUTE ring-number=o {?, t}
@ATTRIBUTE ring-number=t {?, t}
@ATTRIBUTE ring-type=c {?, t}
@ATTRIBUTE ring-type=e {?, t}
@ATTRIBUTE ring-type=f {?, t}
@ATTRIBUTE ring-type=l {?, t}
@ATTRIBUTE ring-type=n {?, t}
@ATTRIBUTE ring-type=p {?, t}
@ATTRIBUTE ring-type=s {?, t}
@ATTRIBUTE ring-type=z {?, t}
@ATTRIBUTE spore-print-color=k {?, t}
@ATTRIBUTE spore-print-color=n {?, t}
@ATTRIBUTE spore-print-color=b {?, t}
@ATTRIBUTE spore-print-color=h {?, t}
@ATTRIBUTE spore-print-color=r {?, t}
@ATTRIBUTE spore-print-color=o {?, t}
@ATTRIBUTE spore-print-color=u {?, t}
@ATTRIBUTE spore-print-color=w {?, t}
@ATTRIBUTE spore-print-color=y {?, t}
@ATTRIBUTE population=a {?, t}
@ATTRIBUTE population=c {?, t}
@ATTRIBUTE population=n {?, t}
@ATTRIBUTE population=s {?, t}
@ATTRIBUTE population=v {?, t}
@ATTRIBUTE population=y {?, t}
@ATTRIBUTE habitat=g {?, t}
@ATTRIBUTE habitat=l {?, t}
@ATTRIBUTE habitat=m {?, t}
@ATTRIBUTE habitat=p {?, t}
@ATTRIBUTE habitat=u {?, t}
@ATTRIBUTE habitat=w {?, t}
@ATTRIBUTE habitat=d {?, t}

@DATA
?,t,?,?,t,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,t,t,?,?,?,?,?,?,?,?,?,?,?,?,t,?,t,?,?,t,?,?,t,?,?,?,?,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,t,?,t,?,?,?,t,?,?,t,?,?,?,?,?,?,t,?,?,t,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,t,?,?,?,?
?,t,t,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,t,t,?,?,?,?,?,?,?,?,?,?,?,?,t,?,t,?,?,t,?,?,?,?,?,?,?,?,?,?,?,t,?,t,?,?,?,t,?,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,t,?,t,?,?,?,t,?,?,t,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,?,?,?,t,?,?,t,?,?,?,?,?,?
t,?,?,?,t,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,t,?,t,?,?,?,?,?,?,?,?,?,?,?,?,t,?,t,?,?,?,t,?,?,t,?,?,?,?,?,?,?,?,?,t,?,t,?,?,?,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,t,?,t,?,?,?,t,?,?,t,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,t,?,?
?,t,?,?,t,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,t,?,?,t,?,t,?,?,t,?,?,?,?,?,?,?,?,?,?,?,t,t,?,?,?,?,?,?,?,?,?,t,t,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,t,?,t,?,?,?,t,?,?,t,?,?,t,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,t,?,?,?,?,?,t,?,?,?,?,?,?
?,t,?,?,?,?,?,t,t,?,?,?,?,?,?,t,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,t,?,t,?,?,?,t,?,?,t,?,?,?,?,?,?,?,?,?,t,?,t,?,?,?,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,t,?,t,?,?,?,t,?,?,t,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,t,?,?
?,t,?,?,?,t,?,?,t,?,?,?,?,?,?,?,?,?,?,?,t,?,?,t,?,?,?,?,?,?,?,?,?,?,?,t,?,?,t,?,t,?,?,?,t,?,?,?,?,?,?,?,?,?,?,t,t,?,?,?,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,t,?,t,?,?,?,t,?,?,t,?,?,t,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,t,?,?,?,?,?,t,?,?,?,?,?,?
t,?,?,?,t,?,?,?,?,?,?,t,t,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,t,?,t,?,?,?,t,?,t,?,?,?,?,?,?,?,?,?,?,t,?,t,?,?,?,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,t,?,t,?,?,?,t,?,?,t,?,?,?,?,?,?,t,?,?,t,?,?,?,?,?,?,?,?,?,?,?,t,?,?,t,?,?,?,?,?,?
t,?,?,?,t,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,t,?,t,?,?,?,?,?,?,?,?,?,?,?,?,t,?,t,?,?,?,t,?,t,?,?,?,?,?,?,?,?,?,?,t,?,t,?,?,?,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,t,?,t,?,?,?,t,?,?,t,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,t,?,?
t,?,?,?,t,?,?,?,?,?,?,t,t,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,t,?,t,?,?,?,t,?,?,t,?,?,?,?,?,?,?,?,?,t,?,t,?,?,?,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,t,?,t,?,?,?,t,?,?,t,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,t,?,?
?,t,t,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,t,t,?,?,?,?,?,?,?,?,?,?,?,?,t,?,t,?,?,t,?,?,?,t,?,?,?,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,t,?,t,?,?,?,t,?,?,t,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,t,?,?,?,?
t,?,?,?,t,?,?,?,?,?,t,?,t,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,t,?,t,?,?,?,t,?,t,?,?,?,?,?,?,?,?,?,?,t,?,t,?,?,?,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,t,?,t,?,?,?,t,?,?,t,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,t,?,t,?,?,?,?,?,?
?,t,t,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,t,t,?,?,?,?,?,?,?,?,?,?,?,?,t,?,t,?,?,t,?,?,?,t,?,?,?,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,t,?,t,?,?,?,t,?,?,t,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,t,?,?,?,?
?,t,t,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,t,?,t,?,?,?,?,?,?,?,?,?,?,?,?,t,?,t,?,?,t,?,?,?,?,?,?,?,?,?,?,?,t,?,t,?,?,?,t,?,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,t,?,t,?,?,?,t,?,?,t,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,t,?,?,?,?
?,t,t,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,t,?,t,?,?,?,?,?,?,?,?,?,?,?,?,t,?,t,?,?,t,?,?,?,?,?,t,?,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,t,?,t,?,?,?,t,?,?,t,?,?,?,?,?,?,t,?,?,t,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,t,?,?,?,?
t,?,?,?,?,t,?,?,?,?,?,t,?,?,?,?,?,?,?,?,t,?,t,?,?,?,?,?,?,?,?,?,?,?,?,t,?,t,?,?,?,t,?,t,?,?,?,?,?,?,?,?,?,?,t,?,t,?,?,?,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,t,?,t,?,?,?,t,?,?,t,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,t,?,t,?,?,?,?,?,?
?,t,?,?,t,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,t,t,?,?,?,?,?,?,?,?,?,?,?,?,t,?,t,?,?,t,?,?,t,?,?,?,?,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,t,?,t,?,?,?,t,?,?,t,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,t,?,?,?,?
?,t,?,?,t,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,t,?,t,?,?,?,?,?,?,?,?,?,?,?,?,t,?,t,?,?,t,?,?,?,?,?,?,?,?,?,?,?,t,?,t,?,?,?,t,?,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,t,?,t,?,?,?,t,?,?,t,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,t,?,?,?,?
?,t,?,?,?,t,?,?,t,?,?,?,t,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,t,?,t,?,?,?,t,?,?,t,?,?,?,?,?,?,?,?,?,t,?,t,?,?,?,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,t,?,t,?,?,?,t,?,?,t,?,?,?,?,?,?,t,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,t,?,?
?,t,?,?,t,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,t,t,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,t,?,?,t,?,t,?,?,?,?,?,?,?,?,?,?,?,t,?,t,?,?,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,t,?,t,?,?,?,t,?,?,t,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,t
?,t,t,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,t,t,?,?,?,?,?,?,?,?,?,?,?,?,t,?,t,?,?,t,?,?,?,?,?,t,?,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,t,?,t,?,?,?,t,?,?,t,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,t,?,?,?,?
